Country,hijosxmujer,fecha_info
Niger,6.73,2023
Angola,5.76,2023
Benin,5.39,2023
Chad,5.35,2023
Uganda,5.26,2023
Somalia,5.22,2023
South Sudan,5.2,2023
Burundi,4.96,2023
Guinea,4.82,2023
Mozambique,4.74,2023
Liberia,4.73,2023
Guinea-Bissau,4.65,2023
Nigeria,4.57,2023
Sudan,4.54,2023
Afghanistan,4.53,2023
Cameroon,4.5,2023
Zambia,4.49,2023
Tanzania,4.33,2023
"Congo, Republic of the",4.32,2023
Equatorial Guinea,4.19,2023
Togo,4.18,2023
Senegal,4.17,2023
Burkina Faso,4.14,2023
Timor-Leste,4.09,2023
Central African Republic,3.99,2023
Ethiopia,3.92,2023
Zimbabwe,3.88,2023
Papua New Guinea,3.85,2023
Sierra Leone,3.71,2023
"Gambia, The",3.66,2023
Ghana,3.61,2023
Madagascar,3.55,2023
Eritrea,3.5,2023
Cote d'Ivoire,3.47,2023
Mauritania,3.46,2023
Sao Tome and Principe,3.44,2023
Pakistan,3.39,2023
Gaza Strip,3.34,2023
Malawi,3.3,2023
Gabon,3.26,2023
Rwanda,3.23,2023
Kenya,3.23,2023
Iraq,3.17,2023
Libya,3.04,2023
Namibia,2.94,2023
Jordan,2.91,2023
Yemen,2.91,2023
West Bank,2.91,2023
Lesotho,2.88,2023
Solomon Islands,2.82,2023
Tuvalu,2.81,2023
Philippines,2.77,2023
Egypt,2.76,2023
Guam,2.76,2023
Syria,2.74,2023
Marshall Islands,2.72,2023
Tonga,2.7,2023
Comoros,2.69,2023
Oman,2.67,2023
Northern Mariana Islands,2.59,2023
Vanuatu,2.59,2023
Belize,2.59,2023
Nauru,2.58,2023
Guatemala,2.57,2023
Israel,2.54,2023
Kyrgyzstan,2.47,2023
Algeria,2.47,2023
Tajikistan,2.42,2023
Eswatini,2.41,2023
Haiti,2.39,2023
Samoa,2.37,2023
Panama,2.37,2023
Botswana,2.37,2023
Laos,2.3,2023
Faroe Islands,2.28,2023
Morocco,2.27,2023
Bolivia,2.26,2023
Fiji,2.23,2023
Kuwait,2.22,2023
"Micronesia, Federated States of",2.22,2023
Cambodia,2.2,2023
Venezuela,2.2,2023
Dominican Republic,2.2,2023
Kiribati,2.18,2023
Peru,2.18,2023
Argentina,2.17,2023
South Africa,2.17,2023
American Samoa,2.13,2023
Djibouti,2.13,2023
Cabo Verde,2.11,2023
Kazakhstan,2.08,2023
Bangladesh,2.08,2023
India,2.07,2023
Guyana,2.06,2023
Jamaica,2.05,2023
Cook Islands,2.04,2023
Vietnam,2.04,2023
El Salvador,2.04,2023
Turkmenistan,2.03,2023
France,2.02,2023
Ecuador,2.02,2023
Dominica,2.01,2023
Burma,2.0,2023
Indonesia,1.99,2023
Sint Maarten,1.98,2023
Virgin Islands,1.98,2023
Honduras,1.98,2023
"Bahamas, The",1.97,2023
Curacao,1.97,2023
Sri Lanka,1.97,2023
Tunisia,1.96,2023
Iceland,1.95,2023
Colombia,1.94,2023
Antigua and Barbuda,1.94,2023
Grenada,1.92,2023
Iran,1.92,2023
Turkey (Turkiye),1.91,2023
Ireland,1.91,2023
Suriname,1.91,2023
Qatar,1.9,2023
Gibraltar,1.9,2023
Greenland,1.9,2023
Bermuda,1.89,2023
"Korea, North",1.89,2023
Mongolia,1.89,2023
Saudi Arabia,1.89,2023
Paraguay,1.88,2023
Kosovo,1.88,2023
Isle of Man,1.88,2023
Nepal,1.88,2023
Azerbaijan,1.86,2023
Costa Rica,1.86,2023
New Zealand,1.86,2023
New Caledonia,1.84,2023
United States,1.84,2023
Norway,1.83,2023
Aruba,1.82,2023
Cayman Islands,1.82,2023
Seychelles,1.81,2023
Montenegro,1.81,2023
Saint Martin,1.8,2023
French Polynesia,1.8,2023
Nicaragua,1.78,2023
Netherlands,1.77,2023
Bhutan,1.77,2023
Denmark,1.77,2023
Belgium,1.77,2023
Saint Kitts and Nevis,1.76,2023
Chile,1.75,2023
Uruguay,1.75,2023
Brazil,1.75,2023
Georgia,1.75,2023
Saint Vincent and the Grenadines,1.74,2023
Malaysia,1.74,2023
Finland,1.74,2023
Brunei,1.74,2023
Mexico,1.73,2023
Australia,1.73,2023
Uzbekistan,1.72,2023
Anguilla,1.72,2023
Saint Lucia,1.72,2023
Lebanon,1.71,2023
Wallis and Futuna,1.71,2023
Cuba,1.71,2023
Maldives,1.7,2023
Barbados,1.7,2023
Palau,1.7,2023
Turks and Caicos Islands,1.7,2023
Liechtenstein,1.69,2023
Sweden,1.67,2023
Bahrain,1.66,2023
Jersey,1.66,2023
Armenia,1.65,2023
Saint Barthelemy,1.64,2023
Luxembourg,1.63,2023
United Kingdom,1.63,2023
Trinidad and Tobago,1.63,2023
Romania,1.63,2023
United Arab Emirates,1.62,2023
Estonia,1.62,2023
Lithuania,1.61,2023
"Saint Helena, Ascension, and Tristan da Cunha",1.61,2023
Russia,1.6,2023
Slovenia,1.6,2023
Saint Pierre and Miquelon,1.59,2023
Moldova,1.59,2023
Guernsey,1.59,2023
Switzerland,1.58,2023
Germany,1.58,2023
Canada,1.57,2023
Ukraine,1.57,2023
Latvia,1.55,2023
Albania,1.55,2023
Thailand,1.54,2023
Monaco,1.53,2023
San Marino,1.53,2023
North Macedonia,1.52,2023
Belarus,1.52,2023
Austria,1.51,2023
Malta,1.51,2023
Bulgaria,1.51,2023
Czechia,1.5,2023
Hungary,1.49,2023
Cyprus,1.48,2023
Slovakia,1.46,2023
Serbia,1.46,2023
Andorra,1.46,2023
Croatia,1.46,2023
China,1.45,2023
Portugal,1.44,2023
Poland,1.41,2023
Greece,1.4,2023
Japan,1.39,2023
Bosnia and Herzegovina,1.37,2023
British Virgin Islands,1.37,2023
Mauritius,1.35,2023
Montserrat,1.32,2023
Spain,1.29,2023
Puerto Rico,1.25,2023
Italy,1.24,2023
Macau,1.23,2023
Hong Kong,1.23,2023
Singapore,1.17,2023
"Korea, South",1.11,2023
Taiwan,1.09,2023
